keyword,fs_probability,ls_probability
美牛,0.4,0.0
發言人,1.0,0.0
開放,0.4,0.0
國人,0.2,0.0
行政院,0.8,0.0
院長,0.4,0.0
進口,0.2,0.0
馬辦,0.8,0.0
蘇貞昌,0.0,0.0
道歉,0.4,0.0
萊克多巴胺,0.0,0.0
馬英九,0.8,0.0
不要,0.2,0.0
業者,0.4,0.0
政府,0.6,0.0
當時,0.0,0.0
2006年,0.0,0.0
牛肉,0.6,0.0
總統,0.4,0.0
美國,0.2,0.0
