keyword,fs_probability,ls_probability
家長,1.0,0.0
學校,0.75,0.0
校園,1.0,0.0
衛生法,0.75,0.0
萊豬,1.0,0.0
聯盟,0.5,0.0
立法院,0.75,0.0
團體,1.0,0.0
禁止,0.5,0.0
立委,0.25,0.0
民進黨,0.5,0.0
教育部,0.0,0.0
台灣,0.25,0.0
立法,1.0,0.0
不能,0.25,0.0
進入,0.75,0.0
我們,0.25,0.0
修法,0.75,0.0
提案,0.25,0.0
孩子,0.25,0.0
