keyword,fs_probability,ls_probability
台灣,1.0,0.0
標章,1.0,0.0
政府,0.5,0.0
豬標章,1.0,0.0
店家,0.0,0.0
公信力,0.75,0.0
民眾,0.25,0.0
地方,0.75,0.0
毫無,0.5,0.0
質疑,0.5,0.0
萊豬,0.75,0.0
立委,0.5,0.0
不安,0.25,0.0
沒有,0.75,0.0
民眾黨,0.25,0.0
萊劑,0.25,0.0
衛福部,0.0,0.0
不過,0.0,0.0
下載,0.0,0.0
使用,0.5,0.0
